year,Počet závodů v kalendáři MS,Podíl městských okruhů,Podíl závodů pod umělým osvětlením
1950,7.0,0.14285714285714285,
1951,8.0,,
1952,8.0,,
1953,9.0,,
1954,9.0,,
1955,7.0,0.14285714285714285,
1956,8.0,0.125,
1957,8.0,0.125,
1958,11.0,0.18181818181818182,
1959,9.0,0.2222222222222222,
1960,10.0,0.2,
1961,8.0,0.125,
1962,9.0,0.1111111111111111,
1963,10.0,0.1,
1964,10.0,0.1,
1965,10.0,0.1,
1966,9.0,0.1111111111111111,
1967,11.0,0.09090909090909091,
1968,12.0,0.08333333333333333,
1969,11.0,0.09090909090909091,
1970,13.0,0.07692307692307693,
1971,11.0,0.09090909090909091,
1972,12.0,0.08333333333333333,
1973,15.0,0.06666666666666667,
1974,15.0,0.06666666666666667,
1975,14.0,0.07142857142857142,
1976,16.0,0.125,
1977,17.0,0.11764705882352941,
1978,16.0,0.1875,
1979,15.0,0.2,
1980,14.0,0.21428571428571427,
1981,15.0,0.26666666666666666,
1982,16.0,0.3125,
1983,15.0,0.26666666666666666,
1984,16.0,0.25,
1985,16.0,0.25,
1986,16.0,0.25,
1987,16.0,0.1875,
1988,16.0,0.25,
1989,16.0,0.25,
1990,16.0,0.25,
1991,16.0,0.25,
1992,16.0,0.1875,
1993,16.0,0.1875,
1994,16.0,0.1875,
1995,17.0,0.17647058823529413,
1996,16.0,0.1875,
1997,17.0,0.17647058823529413,
1998,16.0,0.1875,
1999,16.0,0.1875,
2000,17.0,0.17647058823529413,
2001,17.0,0.17647058823529413,
2002,17.0,0.17647058823529413,
2003,16.0,0.1875,
2004,18.0,0.16666666666666666,
2005,19.0,0.15789473684210525,
2006,18.0,0.16666666666666666,
2007,17.0,0.17647058823529413,
2008,18.0,0.2777777777777778,0.05555555555555555
2009,17.0,0.23529411764705882,0.11764705882352941
2010,19.0,0.2631578947368421,0.10526315789473684
2011,19.0,0.2631578947368421,0.10526315789473684
2012,20.0,0.25,0.1
2013,19.0,0.21052631578947367,0.10526315789473684
2014,19.0,0.2631578947368421,0.15789473684210525
2015,19.0,0.2631578947368421,0.15789473684210525
2016,21.0,0.2857142857142857,0.14285714285714285
2017,20.0,0.3,0.15
2018,21.0,0.2857142857142857,0.14285714285714285
2019,21.0,0.2857142857142857,0.14285714285714285
2020,17.0,0.058823529411764705,0.17647058823529413
2021,22.0,0.18181818181818182,0.18181818181818182
2022,22.0,0.3181818181818182,0.18181818181818182
2023,23.0,0.34782608695652173,0.2608695652173913
